Identificador do processo de viagem,Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço
13443171,Aéreo,Chile,,Santiago,Brasil,Pernambuco,Recife,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,0,0
13444314,Aéreo,Brasil,Ceará,Fortaleza,Brasil,Pernambuco,Petrolina,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,250,0
13444438,Aéreo,Brasil,São Paulo,São Paulo,Espanha,,Barcelona,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,2853,0
13444635,Aéreo,Brasil,Ceará,Fortaleza,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,417,0
13444758,Aéreo,Brasil,Distrito Federal,Brasília,Suíça,,Genebra,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,4031,0
13444797,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Ceará,Fortaleza,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,623,0
13445127,Aéreo,Sudão,,Cartum,Reino Unido,,Londres,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,2772,0
13445174,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Bahia,Salvador,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,996,0
13445607,Aéreo,Brasil,Distrito Federal,Brasília,Espanha,,Madri,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,4446,0
13446388,Aéreo,Brasil,Distrito Federal,Brasília,Bélgica,,Bruxelas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,2353,0
13446456,Aéreo,Suíça,,Genebra,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1798,0
13447074,Aéreo,Brasil,Piauí,Teresina,Brasil,São Paulo,Ribeirão Preto,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,632,0
13447244,Aéreo,Brasil,São Paulo,Campinas,Brasil,Minas Gerais,Uberlândia,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,897,10
13447324,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,266,0
13447621,Aéreo,Brasil,Bahia,Salvador,Brasil,Espírito Santo,Vitória,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,541,0
13447622,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Pará,Belém,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,473,0
13447688,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,348,0
